Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
56,Barrenechea,MID,Aston Villa,5.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
57,Dobbin,MID,Aston Villa,5.0,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
60,Broggio,MID,Aston Villa,4.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
61,Dendoncker,MID,Aston Villa,4.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
62,Jimoh-Aloba,MID,Aston Villa,4.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
63,Young,MID,Aston Villa,4.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
65,Redmond,FWD,Aston Villa,4.5,Crystal Palace,0.0,0.38,,,0.38,0.38,,,
66,Neto,GK,Bournemouth,4.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
68,Dennis,GK,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
69,McKenna,GK,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
70,Paulsen,GK,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
71,Zabarnyi,DEF,Bournemouth,5.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
75,Akinmboni,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
76,Bevan,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
78,J.Araujo,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
79,Mepham,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
80,Soler,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
88,Cook,MID,Bournemouth,5.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
89,Philip,MID,Bournemouth,5.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
91,Sinisterra,MID,Bournemouth,5.0,Tottenham,1.15,0.0,,,1.54,1.92,,,
92,Faivre,MID,Bournemouth,4.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
94,Sadi,MID,Bournemouth,4.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
95,Silcott-Duberry,MID,Bournemouth,4.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
98,Enes Ünal,FWD,Bournemouth,5.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
99,Adu-Adjei,FWD,Bournemouth,4.5,Tottenham,1.15,0.0,,,1.54,1.92,,,
102,Balcombe,GK,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
103,Cox,GK,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
104,Eyestone,GK,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
105,Valdimarsson,GK,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
111,Pinnock,DEF,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
112,Roerslev,DEF,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
114,Arthur,DEF,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
115,Fredrick,DEF,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
117,Ji-soo,DEF,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
118,Meghoma,DEF,Brentford,4.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
125,Janelt,MID,Brentford,5.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
127,Nunes,MID,Brentford,5.0,Sunderland,0.77,0.77,,,1.15,1.15,,,
130,Donovan,MID,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
131,Konak,MID,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
132,Maghoma,MID,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
133,Peart-Harris,MID,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
134,Trevitt,MID,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
135,Wissa,FWD,Brentford,7.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
137,Morgan,FWD,Brentford,4.5,Sunderland,0.77,0.77,,,1.15,1.15,,,
138,Steele,GK,Brighton,4.5,Manchester City,0.38,0.77,,,1.15,1.54,,,
140,McGill,GK,Brighton,4.0,Manchester City,0.38,0.77,,,1.15,1.54,,,
141,Rushworth,GK,Brighton,4.0,Manchester City,0.38,0.77,,,1.15,1.54,,,
142,Scherpen,GK,Brighton,4.0,Manchester City,0.38,0.77,,,1.15,1.54,,,
143,Boscagli,DEF,Brighton,4.5,Manchester City,0.38,0.77,,,1.15,1.54,,,
144,Coppola,DEF,Brighton,4.5,Manchester City,0.38,0.77,,,1.15,1.54,,,
147,Estupiñan,DEF,Brighton,4.5,Manchester City,0.38,0.77,,,1.15,1.54,,,
149,Igor,DEF,Brighton,4.5,Manchester City,0.38,0.77,,,1.15,1.54,,,
